time,cpu_user,cpu_nice,cpu_system,cpu_idle,cpu_iowait,cpu_irq,cpu_softirq,cpu_steal,cpu_guest,cpu_guest_nice,ctxt,btime,processes,procs_running,procs_blocked,cpus,sda.reads,sda.reads_merged,sda.read_sectors,sda.read_time_ms,sda.writes,sda.writes_merged,sda.write_sectors,sda.write_time_ms,sda.io_in_progress,sda.io_time_ms,sda.io_queued_ms
2015-01-04T18:16:10.136794Z,2243415,0,867080,25721504,10158,49141,0,0,0,0,3846445205,1420347116,160710,62,0,6,584711,1143789,15793838,1357568,2358055,2788716,608617552,26732988,0,583652,28054620
2015-01-04T18:16:10.238215Z,2243425,0,867086,25721548,10158,49141,0,0,0,0,3846446790,1420347116,160710,3,0,6,584711,1143789,15793838,1357568,2358055,2788716,608617552,26732988,0,583652,28054620
2015-01-04T18:16:10.339540Z,2243474,0,867094,25721549,10158,49144,0,0,0,0,3846451365,1420347116,160710,103,0,6,584711,1143789,15793838,1357568,2358055,2788716,608617552,26732988,0,583652,28054620
2015-01-04T18:16:10.440330Z,2243523,0,867102,25721549,10158,49147,0,0,0,0,3846455922,1420347116,160710,104,0,6,584711,1143789,15793838,1357568,2358055,2788716,608617552,26732988,0,583652,28054620
2015-01-04T18:16:10.542331Z,2243572,0,867111,25721549,10158,49150,0,0,0,0,3846460510,1420347116,160710,102,0,6,584711,1143789,15793838,1357568,2358055,2788716,608617552,26732988,0,583652,28054620
2015-01-04T18:16:10.643048Z,2243618,0,867123,25721549,10158,49153,0,0,0,0,3846503846,1420347116,160710,106,0,6,584711,1143789,15793838,1357568,2358055,2788716,608617552,26732988,0,583652,28054620
2015-01-04T18:16:10.745192Z,2243643,0,867155,25721549,10158,49154,0,0,0,0,3846764196,1420347116,160710,101,0,6,584711,1143789,15793838,1357568,2358055,2788716,608617552,26732988,0,583652,28054620
2015-01-04T18:16:10.849991Z,2243694,0,867163,25721549,10158,49157,0,0,0,0,3846768949,1420347116,160710,104,0,6,584711,1143789,15793838,1357568,2358055,2788716,608617552,26732988,0,583652,28054620
2015-01-04T18:16:10.952491Z,2243743,0,867172,25721549,10158,49160,0,0,0,0,3846773449,1420347116,160710,102,0,6,584711,1143789,15793838,1357568,2358055,2788716,608617552,26732988,0,583652,28054620
2015-01-04T18:16:11.053526Z,2243793,0,867180,25721549,10158,49163,0,0,0,0,3846777779,1420347116,160710,103,0,6,584711,1143789,15793838,1357568,2358055,2788716,608617552,26732988,0,583652,28054620
2015-01-04T18:16:11.157348Z,2243843,0,867189,25721549,10158,49166,0,0,0,0,3846782387,1420347116,160710,103,0,6,584711,1143789,15793838,1357568,2358055,2788716,608617552,26732988,0,583652,28054620
2015-01-04T18:16:11.258605Z,2243887,0,867197,25721554,10158,49169,0,0,0,0,3846786418,1420347116,160710,2,0,6,584711,1143789,15793838,1357568,2358055,2788716,608617552,26732988,0,583652,28054620
2015-01-04T18:16:11.359513Z,2243902,0,867205,25721591,10158,49170,0,0,0,0,3846788238,1420347116,160710,103,0,6,584711,1143789,15793838,1357568,2358133,2788758,608656464,26733144,23,583680,28054944
2015-01-04T18:16:11.460317Z,2243947,0,867216,25721591,10158,49174,0,0,0,0,3846792404,1420347116,160710,102,0,6,584711,1143789,15793838,1357568,2358234,2788758,608753072,26733776,0,583728,28055408
2015-01-04T18:16:11.564994Z,2243998,0,867225,25721591,10158,49178,0,0,0,0,3846796874,1420347116,160710,107,0,6,584711,1143789,15793838,1357568,2358234,2788758,608753072,26733776,0,583728,28055408
2015-01-04T18:16:11.666219Z,2244047,0,867233,25721591,10158,49181,0,0,0,0,3846801211,1420347116,160710,103,0,6,584711,1143789,15793838,1357568,2358234,2788758,608753072,26733776,0,583728,28055408
2015-01-04T18:16:11.768279Z,2244096,0,867242,25721591,10158,49184,0,0,0,0,3846805517,1420347116,160710,102,0,6,584711,1143789,15793838,1357568,2358234,2788758,608753072,26733776,0,583728,28055408
2015-01-04T18:16:11.869604Z,2244146,0,867250,25721591,10158,49187,0,0,0,0,3846810112,1420347116,160710,104,0,6,584711,1143789,15793838,1357568,2358234,2788758,608753072,26733776,0,583728,28055408
2015-01-04T18:16:11.970464Z,2244195,0,867259,25721591,10158,49190,0,0,0,0,3846814350,1420347116,160710,102,0,6,584711,1143789,15793838,1357568,2358234,2788758,608753072,26733776,0,583728,28055408
2015-01-04T18:16:12.072197Z,2244244,0,867267,25721591,10158,49193,0,0,0,0,3846818753,1420347116,160710,103,0,6,584711,1143789,15793838,1357568,2358234,2788758,608753072,26733776,0,583728,28055408
2015-01-04T18:16:12.175149Z,2244293,0,867277,25721591,10158,49196,0,0,0,0,3846823635,1420347116,160710,106,0,6,584711,1143789,15793838,1357568,2358234,2788758,608753072,26733776,0,583728,28055408
2015-01-04T18:16:12.277223Z,2244342,0,867285,25721591,10158,49199,0,0,0,0,3846828310,1420347116,160710,103,0,6,584711,1143789,15793838,1357568,2358234,2788758,608753072,26733776,0,583728,28055408
2015-01-04T18:16:12.378695Z,2244386,0,867294,25721597,10158,49202,0,0,0,0,3846832615,1420347116,160710,3,0,6,584711,1143789,15793838,1357568,2358234,2788758,608753072,26733776,0,583728,28055408
2015-01-04T18:16:12.480804Z,2244404,0,867300,25721632,10158,49203,0,0,0,0,3846834719,1420347116,160710,104,0,6,584711,1143789,15793838,1357568,2358234,2788758,608753072,26733776,0,583728,28055408
2015-01-04T18:16:12.581704Z,2244446,0,867316,25721632,10158,49205,0,0,0,0,3846946250,1420347116,160710,101,0,6,584711,1143789,15793838,1357568,2358234,2788758,608753072,26733776,0,583728,28055408
2015-01-04T18:16:12.683880Z,2244483,0,867336,25721632,10158,49207,0,0,0,0,3847115258,1420347116,160710,105,0,6,584711,1143789,15793838,1357568,2358234,2788758,608753072,26733776,0,583728,28055408
2015-01-04T18:16:12.785090Z,2244532,0,867344,25721632,10158,49210,0,0,0,0,3847119864,1420347116,160710,89,0,6,584711,1143789,15793838,1357568,2358234,2788758,608753072,26733776,0,583728,28055408
2015-01-04T18:16:12.886591Z,2244581,0,867353,25721632,10158,49213,0,0,0,0,3847124462,1420347116,160710,103,0,6,584711,1143789,15793838,1357568,2358234,2788758,608753072,26733776,0,583728,28055408
2015-01-04T18:16:12.987837Z,2244619,0,867372,25721632,10158,49215,0,0,0,0,3847286300,1420347116,160710,97,0,6,584711,1143789,15793838,1357568,2358234,2788758,608753072,26733776,0,583728,28055408
2015-01-04T18:16:13.088669Z,2244637,0,867411,25721632,10158,49215,0,0,0,0,3847694914,1420347116,160710,101,0,6,584711,1143789,15793838,1357568,2358234,2788758,608753072,26733776,0,583728,28055408
2015-01-04T18:16:13.190132Z,2244666,0,867438,25721632,10158,49216,0,0,0,0,3847957841,1420347116,160710,99,0,6,584711,1143789,15793838,1357568,2358234,2788758,608753072,26733776,0,583728,28055408
2015-01-04T18:16:13.292147Z,2244715,0,867447,25721632,10158,49220,0,0,0,0,3847962222,1420347116,160710,81,0,6,584711,1143789,15793838,1357568,2358236,2788771,608753192,26733780,0,583732,28055412
2015-01-04T18:16:13.392977Z,2244764,0,867456,25721632,10158,49223,0,0,0,0,3847966844,1420347116,160710,103,0,6,584711,1143789,15793838,1357568,2358236,2788771,608753192,26733780,0,583732,28055412
2015-01-04T18:16:13.493896Z,2244806,0,867464,25721640,10158,49225,0,0,0,0,3847970291,1420347116,160710,3,0,6,584711,1143789,15793838,1357568,2358236,2788771,608753192,26733780,0,583732,28055412
2015-01-04T18:16:13.594929Z,2244819,0,867470,25721682,10158,49225,0,0,0,0,3847971207,1420347116,160710,3,0,6,584711,1143789,15793838,1357568,2358236,2788771,608753192,26733780,0,583732,28055412
2015-01-04T18:16:13.698564Z,2244861,0,867478,25721691,10158,49228,0,0,0,0,3847975172,1420347116,160710,103,0,6,584711,1143789,15793838,1357568,2358236,2788771,608753192,26733780,0,583732,28055412
2015-01-04T18:16:13.800977Z,2244891,0,867505,25721691,10158,49229,0,0,0,0,3848193376,1420347116,160710,103,0,6,584711,1143789,15793838,1357568,2358236,2788771,608753192,26733780,0,583732,28055412
2015-01-04T18:16:13.901853Z,2244907,0,867546,25721691,10158,49229,0,0,0,0,3848556209,1420347116,160710,101,0,6,584711,1143789,15793838,1357568,2358236,2788771,608753192,26733780,0,583732,28055412
2015-01-04T18:16:14.003387Z,2244934,0,867575,25721691,10158,49230,0,0,0,0,3848829938,1420347116,160710,96,0,6,584711,1143789,15793838,1357568,2358236,2788771,608753192,26733780,0,583732,28055412
2015-01-04T18:16:14.105352Z,2244984,0,867584,25721691,10158,49233,0,0,0,0,3848838259,1420347116,160710,106,0,6,584711,1143789,15793838,1357568,2358236,2788771,608753192,26733780,0,583732,28055412
2015-01-04T18:16:14.206105Z,2245010,0,867614,25721691,10158,49234,0,0,0,0,3849106722,1420347116,160710,103,0,6,584711,1143789,15793838,1357568,2358236,2788771,608753192,26733780,0,583732,28055412
