#(1)                 (2)    (3)    (4)     (5)      (6)     (7)        (8)  (9)  (10)  (11)   (12)   (13)   (14)  (15)  (16)  (17)  (18)
#date-time           procs  procs  mem     mem      mem     mem        swp  swp  io    io     syst   syst   cpu   cpu   cpu   cpu   cpu
#date-time           r      b      swpd    free     buff    cache      si   so   bi    bo     in     cs     us    sy    id    wa    st
2014-07-08-11:55:58  0      0      218852  2144088  422536  120058368  0    0    288   10912  11401  13476  0     0     99    0     0
2014-07-08-11:55:59  0      0      218852  2144104  422536  120058768  0    0    160   6392   10382  12603  0     0     99    0     0
2014-07-08-11:56:00  0      0      218852  2145972  422536  120058920  0    0    164   2552   8081   11035  0     0     99    0     0
2014-07-08-11:56:01  1      0      218852  2145468  422536  120059304  0    0    224   5876   9531   13004  0     0     99    0     0
2014-07-08-11:56:02  0      0      218852  2147088  422536  120059560  0    0    124   2296   8147   10593  0     0     99    0     0
2014-07-08-11:56:03  0      0      218852  2145420  422536  120059832  0    0    204   5060   9335   10563  0     0     99    0     0
2014-07-08-11:56:04  1      0      218852  2145304  422536  120060080  0    0    208   2348   7995   10640  0     0     99    0     0
2014-07-08-11:56:05  0      0      218852  2142444  422536  120060368  0    0    168   2196   7773   10062  0     0     99    0     0
2014-07-08-11:56:06  0      0      218852  2144180  422536  120060544  0    0    184   10280  11345  13055  0     0     99    0     0
2014-07-08-11:56:07  1      0      218852  2144172  422536  120060896  0    0    204   8380   11385  12722  0     0     99    0     0
2014-07-08-11:56:08  0      0      218852  2142700  422536  120061152  0    0    204   3616   9614   10441  0     0     99    0     0
2014-07-08-11:56:09  0      0      218852  2143452  422536  120061392  0    0    148   7736   10089  12784  0     0     99    0     0
2014-07-08-11:56:10  0      0      218852  2144196  422536  120061624  0    0    208   2280   8052   9967   0     0     99    0     0
2014-07-08-11:56:11  0      0      218912  2181156  422328  120024024  0    60   136   4984   26200  13603  1     6     93    0     0
2014-07-08-11:56:12  0      0      218912  2176504  422328  120024256  0    0    212   2244   9929   11523  0     0     99    0     0
2014-07-08-11:56:13  0      0      218912  2179288  422328  120024528  0    0    116   7160   11135  11966  0     0     99    0     0
2014-07-08-11:56:14  0      0      218912  2178508  422328  120024984  0    0    400   2324   8664   10549  0     0     99    0     0
#(1)                 (2)    (3)    (4)     (5)      (6)     (7)        (8)  (9)  (10)  (11)   (12)   (13)   (14)  (15)  (16)  (17)  (18)
#date-time           procs  procs  mem     mem      mem     mem        swp  swp  io    io     syst   syst   cpu   cpu   cpu   cpu   cpu
#date-time           r      b      swpd    free     buff    cache      si   so   bi    bo     in     cs     us    sy    id    wa    st
2014-07-08-11:56:15  2      0      218912  2179252  422328  120025232  0    0    184   2052   7579   9683   0     0     100   0     0
2014-07-08-11:56:16  0      0      218912  2179512  422328  120025584  0    0    240   5576   10022  11167  0     0     99    0     0
2014-07-08-11:56:17  0      0      218912  2182048  422328  120025824  0    0    212   2196   7441   9205   0     0     99    0     0
2014-07-08-11:56:18  0      0      218912  2181692  422328  120026040  0    0    136   3428   8388   9265   0     0     100   0     0
2014-07-08-11:56:19  0      0      218912  2182548  422328  120026264  0    0    200   2160   8246   10002  0     0     99    0     0
2014-07-08-11:56:20  0      0      218912  2183168  422328  120026480  0    0    176   18172  14877  16084  0     0     99    0     0
2014-07-08-11:56:21  0      0      218912  2182664  422328  120026720  0    0    240   4772   8802   10543  0     0     99    0     0
2014-07-08-11:56:22  0      0      218912  2181372  422328  120026984  0    0    148   2060   8101   10000  0     0     99    0     0
2014-07-08-11:56:23  0      0      218912  2182528  422328  120027216  0    0    224   3332   8198   9446   0     0     100   0     0
2014-07-08-11:56:24  1      0      218912  2179208  422328  120027424  0    0    152   2180   7971   9838   0     0     99    0     0
2014-07-08-11:56:25  0      0      218912  2180456  422328  120027688  0    0    172   1932   7462   9363   0     0     99    0     0
2014-07-08-11:56:26  0      0      218912  2180024  422328  120027896  0    0    168   4648   9345   10582  0     0     99    0     0
2014-07-08-11:56:27  0      0      218912  2183676  422328  120028096  0    0    116   5580   9425   10999  0     0     100   0     0
2014-07-08-11:56:28  0      0      218912  2181444  422328  120028272  0    0    156   3440   7901   9351   0     0     99    0     0
2014-07-08-11:56:29  0      0      218912  2176740  422328  120028536  0    0    180   2208   7548   9742   1     0     99    0     0
