#time     insert  query  update  update_r  delete  getmore  command  command_r  flushes  mapped       vsize         res          non-mapped   faults  locked_db      lock%  idx_miss_%  qr    qw    ar    aw    netIn  netOut  conn  set                 repl
#(1)      (2)     (3)    (4)     (5)       (6)     (7)      (8)      (9)        (10)     (11)         (12)          (13)         (14)         (15)    (16)           (17)   (18)        (19)  (20)  (21)  (22)  (23)   (24)    (25)  (26)                (27)
#time     insert  query  update  update_r  delete  getmore  command  command_r  flushes  mapped       vsize         res          non-mapped   faults  locked_db      lock%  idx_miss_%  qr    qw    ar    aw    netIn  netOut  conn  set                 repl  
11:55:21  66      33     1       7         5       92       61       0          0        49900000000  102000000000  26100000000  51700000000  14      somedatabase1  0.4%   0           0     0     0     0     36000  109000  840   someReplicaSet0011  SEC
11:55:22  70      30     1       10        5       98       73       0          0        49900000000  102000000000  26100000000  51700000000  12      local          0.5%   0           0     0     0     0     34000  121000  840   someReplicaSet0011  SEC
11:55:23  76      36     1       9         5       99       61       0          1        49900000000  102000000000  26100000000  51700000000  19      somedatabase1  0.2%   0           0     0     0     0     39000  120000  840   someReplicaSet0011  SEC
11:55:24  55      28     1       3         5       94       52       0          0        49900000000  102000000000  26100000000  51700000000  7       local          0.4%   0           0     0     0     0     31000  90000   840   someReplicaSet0011  SEC
#(1)      (2)     (3)    (4)     (5)       (6)     (7)      (8)      (9)        (10)     (11)         (12)          (13)         (14)         (15)    (16)           (17)   (18)        (19)  (20)  (21)  (22)  (23)   (24)    (25)  (26)                (27)
#time     insert  query  update  update_r  delete  getmore  command  command_r  flushes  mapped       vsize         res          non-mapped   faults  locked_db      lock%  idx_miss_%  qr    qw    ar    aw    netIn  netOut  conn  set                 repl  
11:55:25  53      34     1       14        5       90       56       0          0        49900000000  102000000000  26100000000  51700000000  7       somedatabase1  0.3%   0           0     0     0     0     37000  111000  840   someReplicaSet0011  SEC
11:55:26  46      39     1       13        5       79       50       0          0        49900000000  102000000000  26100000000  51700000000  14      somedatabase1  0.2%   0           0     0     0     0     41000  92000   840   someReplicaSet0011  SEC
11:55:27  62      32     1       10        5       90       61       0          0        49900000000  102000000000  26100000000  51700000000  9       somedatabase1  0.3%   0           0     0     0     0     37000  101000  840   someReplicaSet0011  SEC
11:55:28  52      33     1       14        5       92       69       0          0        49900000000  102000000000  26100000000  51700000000  7       somedatabase1  0.4%   0           0     0     0     0     39000  119000  840   someReplicaSet0011  SEC
11:55:29  59      40     1       17        5       95       64       0          0        49900000000  102000000000  26100000000  51700000000  16      somedatabase1  0.3%   0           0     0     0     0     44000  123000  840   someReplicaSet0011  SEC
11:55:30  69      54     1       11        5       90       55       0          1        49900000000  102000000000  26100000000  51700000000  23      somedatabase1  0.4%   0           0     0     0     0     55000  117000  840   someReplicaSet0011  SEC
11:55:31  72      39     1       11        5       96       73       0          0        49900000000  102000000000  26100000000  51700000000  6       somedatabase1  0.3%   0           0     0     0     0     46000  130000  840   someReplicaSet0011  SEC
11:55:32  62      46     1       13        5       91       79       0          0        49900000000  102000000000  26100000000  51700000000  11      somedatabase1  0.4%   0           0     0     0     0     52000  137000  840   someReplicaSet0011  SEC
11:55:33  66      27     1       9         5       98       70       0          0        49900000000  102000000000  26100000000  51700000000  8       local          0.5%   0           0     0     0     0     28000  111000  840   someReplicaSet0011  SEC
11:55:34  51      27     1       10        4       88       66       0          0        49900000000  102000000000  26100000000  51700000000  13      .              1.2%   0           0     0     0     0     33000  96000   840   someReplicaSet0011  SEC
#(1)      (2)     (3)    (4)     (5)       (6)     (7)      (8)      (9)        (10)     (11)         (12)          (13)         (14)         (15)    (16)           (17)   (18)        (19)  (20)  (21)  (22)  (23)   (24)    (25)  (26)                (27)
#time     insert  query  update  update_r  delete  getmore  command  command_r  flushes  mapped       vsize         res          non-mapped   faults  locked_db      lock%  idx_miss_%  qr    qw    ar    aw    netIn  netOut  conn  set                 repl  
11:55:35  54      40     1       8         5       92       74       0          0        49900000000  102000000000  26100000000  51700000000  7       somedatabase1  0.2%   0           0     0     0     0     43000  120000  840   someReplicaSet0011  SEC
11:55:36  79      39     1       8         5       99       64       0          0        49900000000  102000000000  26100000000  51700000000  10      somedatabase1  0.4%   0           0     0     0     0     43000  119000  840   someReplicaSet0011  SEC
11:55:37  95      33     1       8         5       100      68       0          1        49900000000  102000000000  26100000000  51700000000  9       somedatabase1  0.3%   0           0     0     0     0     38000  117000  840   someReplicaSet0011  SEC
11:55:38  71      43     1       18        5       97       49       0          0        49900000000  102000000000  26100000000  51700000000  12      somedatabase1  0.3%   0           0     0     0     0     42000  110000  840   someReplicaSet0011  SEC
11:55:39  69      40     1       4         5       91       64       0          0        49900000000  102000000000  26100000000  51700000000  15      somedatabase1  0.4%   0           0     0     0     0     49000  126000  840   someReplicaSet0011  SEC
11:55:40  70      44     1       13        5       96       60       0          0        49900000000  102000000000  26100000000  51700000000  21      somedatabase1  0.3%   0           0     0     0     0     44000  120000  840   someReplicaSet0011  SEC
11:55:41  64      44     1       11        5       88       70       0          0        49900000000  102000000000  26100000000  51700000000  11      somedatabase1  0.1%   0           0     0     0     0     45000  120000  840   someReplicaSet0011  SEC
11:55:42  71      40     1       12        4       97       64       0          0        49900000000  102000000000  26100000000  51700000000  14      somedatabase1  0.4%   0           0     0     0     0     51000  111000  840   someReplicaSet0011  SEC
11:55:43  65      32     1       16        5       95       55       0          0        49900000000  102000000000  26100000000  51700000000  9       somedatabase1  0.3%   0           0     0     0     0     35000  109000  840   someReplicaSet0011  SEC
11:55:44  98      49     1       9         5       102      68       0          1        49900000000  102000000000  26100000000  51700000000  12      somedatabase1  0.3%   0           0     0     0     0     56000  153000  840   someReplicaSet0011  SEC
#(1)      (2)     (3)    (4)     (5)       (6)     (7)      (8)      (9)        (10)     (11)         (12)          (13)         (14)         (15)    (16)           (17)   (18)        (19)  (20)  (21)  (22)  (23)   (24)    (25)  (26)                (27)
#time     insert  query  update  update_r  delete  getmore  command  command_r  flushes  mapped       vsize         res          non-mapped   faults  locked_db      lock%  idx_miss_%  qr    qw    ar    aw    netIn  netOut  conn  set                 repl  
11:55:45  69      42     1       12        5       96       74       0          0        49900000000  102000000000  26100000000  51700000000  13      somedatabase1  0.4%   0           0     0     0     0     49000  127000  840   someReplicaSet0011  SEC
11:55:46  75      35     1       14        5       93       78       0          0        49900000000  102000000000  26100000000  51700000000  8       somedatabase1  0.3%   0           0     0     0     0     41000  123000  840   someReplicaSet0011  SEC
11:55:47  74      41     1       12        5       91       82       0          0        49900000000  102000000000  26100000000  51700000000  17      somedatabase1  0.4%   0           0     0     0     0     55000  140000  840   someReplicaSet0011  SEC
11:55:48  52      35     1       9         5       90       63       0          0        49900000000  102000000000  26100000000  51700000000  11      somedatabase1  0.2%   0           0     0     0     0     44000  124000  840   someReplicaSet0011  SEC
11:55:49  56      30     1       14        5       90       37       0          0        49900000000  102000000000  26100000000  51700000000  11      somedatabase1  0.3%   0           0     0     0     0     34000  81000   840   someReplicaSet0011  SEC
11:55:50  69      25     1       24        5       97       64       0          0        49900000000  102000000000  26100000000  51700000000  10      somedatabase1  0.4%   0           0     0     0     0     34000  104000  840   someReplicaSet0011  SEC
11:55:51  70      41     1       18        5       101      69       0          1        49900000000  102000000000  26100000000  51700000000  8       somedatabase1  0.3%   0           0     0     0     0     42000  111000  840   someReplicaSet0011  SEC
11:55:52  61      45     1       9         5       95       69       0          0        49900000000  102000000000  26100000000  51700000000  6       somedatabase1  0.2%   0           0     0     0     0     53000  120000  840   someReplicaSet0011  SEC
11:55:53  77      32     1       9         5       99       63       0          0        49900000000  102000000000  26100000000  51700000000  5       somedatabase1  0.3%   0           0     0     0     0     39000  114000  840   someReplicaSet0011  SEC
11:55:54  77      26     1       17        5       100      54       0          0        49900000000  102000000000  26100000000  51700000000  9       local          0.6%   0           0     0     0     0     27000  94000   840   someReplicaSet0011  SEC
#(1)      (2)     (3)    (4)     (5)       (6)     (7)      (8)      (9)        (10)     (11)         (12)          (13)         (14)         (15)    (16)           (17)   (18)        (19)  (20)  (21)  (22)  (23)   (24)    (25)  (26)                (27)
#time     insert  query  update  update_r  delete  getmore  command  command_r  flushes  mapped       vsize         res          non-mapped   faults  locked_db      lock%  idx_miss_%  qr    qw    ar    aw    netIn  netOut  conn  set                 repl  
11:55:55  68      27     1       10        5       92       64       0          0        49900000000  102000000000  26100000000  51700000000  9       local          0.4%   0           0     0     0     0     30000  97000   840   someReplicaSet0011  SEC
11:55:56  57      27     1       19        4       90       95       0          0        49900000000  102000000000  26100000000  51700000000  11      somedatabase1  0.3%   0           0     0     0     0     35000  133000  840   someReplicaSet0011  SEC
11:55:57  52      49     1       13        5       90       71       0          0        49900000000  102000000000  26100000000  51700000000  19      somedatabase1  0.2%   0           0     0     0     0     56000  125000  840   someReplicaSet0011  SEC
11:55:58  63      29     1       15        5       97       60       0          1        49900000000  102000000000  26100000000  51700000000  11      local          0.5%   0           0     0     0     0     34000  118000  840   someReplicaSet0011  SEC
11:55:59  77      27     1       16        4       102      66       0          0        49900000000  102000000000  26100000000  51700000000  9       somedatabase1  0.4%   0           0     0     0     0     39000  120000  840   someReplicaSet0011  SEC
11:56:00  76      46     1       13        5       92       59       0          0        49900000000  102000000000  26100000000  51700000000  9       somedatabase1  0.3%   0           0     0     0     0     52000  127000  840   someReplicaSet0011  SEC
11:56:01  79      39     1       16        5       100      72       0          0        49900000000  102000000000  26100000000  51700000000  8       somedatabase1  0.4%   0           0     0     0     0     40000  114000  840   someReplicaSet0011  SEC
11:56:02  63      33     1       14        5       90       69       0          0        49900000000  102000000000  26100000000  51700000000  10      somedatabase1  0.3%   0           0     0     0     0     37000  102000  840   someReplicaSet0011  SEC
11:56:03  58      41     1       14        5       94       49       0          0        49900000000  102000000000  26100000000  51700000000  6       somedatabase1  0.4%   0           0     0     0     0     45000  108000  840   someReplicaSet0011  SEC
11:56:04  52      44     1       11        5       88       69       0          0        49900000000  102000000000  26100000000  51700000000  7       somedatabase1  0.2%   0           0     0     0     0     43000  105000  840   someReplicaSet0011  SEC
